Region,Crop,Variety,Rainfall (mm),Temperature (°C),Arrival (Quintals),Min Price (Rs/qtl),Max Price (Rs/qtl),Modal Price (Rs/qtl),Humidity (%),Pesticide Used (litres/ha)
Punjab,Wheat,HD-2967,9.73,27.88,537.91,1864.22,2012.38,1992.38,49.81,1.61
Maharashtra,Onion,Nashik Red,87.59,32.06,752.67,996.07,1178.34,1158.34,65.86,4.73
Tamil Nadu,Tomato,Local Red,117.91,35.02,2550.16,894.43,1001.66,981.66,85.7,5.01
Bihar,Maize,Hybrid-1,62.24,29.78,617.68,1701.49,1806.93,1786.93,76.54,4.34
Karnataka,Potato,Kufri Jyoti,27.49,25.98,2193.15,815.13,906.49,886.49,47.31,1.25
Punjab,Maize,Hybrid-1,51.21,32.74,566.27,1516.61,1756.32,1736.32,45.05,3.13
Maharashtra,Rice,Basmati,37.31,30.56,476.99,1564.64,1628.18,1608.18,44.9,2.27
Bihar,Onion,Nashik Red,134.9,33.99,1653.17,1184.61,1252.77,1232.77,64.21,3.04
Karnataka,Tomato,Local Red,126.29,29.56,1774.08,827.62,905.1,885.1,66.87,4.63
Uttar Pradesh,Tomato,Local Red,117.99,31.13,2762.23,1283.05,1428.86,1408.86,86.19,4.92
Punjab,Potato,Kufri Jyoti,15.39,28.04,2734.38,1611.24,1727.09,1707.09,82.92,4.52
Tamil Nadu,Wheat,HD-2967,55.49,39.79,962.53,1597.64,1705.91,1685.91,75.78,1.98
Punjab,Maize,Hybrid-1,74.55,27.01,848.45,1404.79,1459.07,1439.07,73.94,1.43
Punjab,Onion,Nashik Red,50.75,31.02,2324.69,1272.43,1453.39,1433.39,87.82,1.81
Punjab,Tomato,Local Red,47.04,30.76,1892.61,1315.34,1481.24,1461.24,54.39,4.24
Punjab,Rice,Basmati,116.24,37.85,905.46,1496.53,1603.36,1583.36,66.25,1
Bihar,Onion,Nashik Red,67.12,26.17,2275.99,1574.73,1691.66,1671.66,75.43,1.9
Karnataka,Wheat,HD-2967,134.09,39.94,871.53,1501.76,1599.23,1579.23,66.32,4.13
Uttar Pradesh,Potato,Kufri Jyoti,119.54,26.05,2258.18,827.27,1066.13,1046.13,80.61,4.56
Bihar,Rice,Basmati,132.31,26.86,689.48,1549.28,1718.75,1698.75,74.08,3.48
